json_file,section,title,collaborator_name,filled_id_lattes,tipo_resolucao
Alessandra de Almeida Lucas.json,trabalhos_completos[31],Processamento e caracterização de sistema polimérico biodegradáveL TPS/PBAT Obtido por processamento reativo e reforçado por nanocristais de celulose,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[32],PREPARAÇÃO E CARACTERIZAÇÃO DE COMPÓSITOS DE POLI(ESTIRENO-B-ETILENO-RAN-BUTILENO-B-ESTIRENO) COM NEGRO DE FUMO CONDUTOR E GRAFITE EXPANDIDO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[33],ENXERTIA DE OLIGÔMERO EM NANOWHISKER DE CELULOSE (NWC) PARA OBTENÇÃO DE NANOCOMPÓSITO DE POLIURETANO TERMOPLÁSTICO/NWC,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[34],Nanoperiodicidade e orientação lamelar em filmes tubulares de nanocompósitos de PA6/sHNT obtidos em diferentes condições de processamento,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[35],ESTUDO DE PERMEAÇÃO AO VAPOR DE ÓLEO DIESEL DE NANOCOMPÓSITOS DE POLIPROPILENO COM GRAFITE EXPANDIDO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[36],MONITORAMENTO ÓTICO E SIMULAÇÃO COMPUTACIONAL DA CRISTALIZAÇÃO DE POLÍMEROS DURANTE A MOLDAGEM POR INJEÇÃO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[37],ESTUDO DAS PROPRIEDADES DE COMPOSTOS DE AMIDO TERMOPLÁSTICO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[38],BIOCOMPÓSITOS PHBV/FIBRAS NATURAIS: DESENVOLVIMENTO E CARACTERIZAÇÃO MECÂNICA APÓS BIODEGRADAÇÃO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[39],AVALIAÇÃO DAS PROPRIEDADES MECÂNICAS DE ELASTÔMEROS DE POLIURETANO COM LUBRIFICANTES SÓLIDOS,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[40],"CARACTERIZAÇÃO DAS FIBRAS AMAZÔNICAS DE PUPUNHA, BABAÇU E BALSA ATRAVÉS DE DRX, TG E RMN","MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[40],"CARACTERIZAÇÃO DAS FIBRAS AMAZÔNICAS DE PUPUNHA, BABAÇU E BALSA ATRAVÉS DE DRX, TG E RMN","MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[41],Desgaste Abrasivo de Blendas HDPE/UHMWPE,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[41],Desgaste Abrasivo de Blendas HDPE/UHMWPE,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[42],Obtenção e Caracterização de Blendas de Amido Termoplástico/Látex de Borracha Natural e Nanocompósitos de Amido Termoplásticos/Whiskers de Celulose,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[42],Obtenção e Caracterização de Blendas de Amido Termoplástico/Látex de Borracha Natural e Nanocompósitos de Amido Termoplásticos/Whiskers de Celulose,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[43],Determination of the kinetics Crystallization Constant in a Heterophasic polypropylene using the master curve Approach,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[44],Método daCurva Mestre Aplicado a Curvas de Cristalizaçao nao Isotérmicas Simuladas por meio da Equaçao de Nakamura,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[45],Cinética de Cristalização Isotérmica de Poliésteres de Engenharia,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,resumos_expandidos[1],"MORPHOLOGY, MECHANICAL AND ELECTRICAL PROPERTIES OF PLA/PBS BLENDS AND THEIR NANOCOMPOSITES WITH EXPANDED GRAPHITE","Lucas, Alessandra de A.",9754332336954137,proprio_pesquisador
